year,genre,country
1929,"Comedy, Musical",United States
1929,"Drama, Romance",United States
1929,Comedy,United States
1929,"Drama, Mystery",United States
1929,"Crime, Drama, Film-Noir",United States
1929,Western,United States
1929,Drama,Japan
1929,Drama,United States
1929,Drama,United States
1929,"Mystery, Thriller",United States
1929,"Adventure, Drama, Romance",United States
1929,"Comedy, Musical",United States
1929,Drama,United States
1928,"History, War",France
1929,"Romance, Western",United States
1929,Comedy,Japan
1929,"Action, Adventure, Drama",Germany
1929,Comedy,United States
1929,"Drama, Romance",United States
1929,"Comedy, Drama, Romance",United States
1929,"Romance, Drama",United States
1929,"Comedy, Drama",United States
1929,Drama,Germany
1929,Drama,United States
1930,"Biography, Drama, History",United States
1930,"Drama, War",United States
1930,"Comedy, Musical",United States
1930,"Drama, Romance",United States
1930,Drama,United States
1930,"Drama, Romance",France
1930,"Drama, Romance",United States
1930,"Crime, Thriller, Horror",United States
1930,"Comedy, Musical",United States
1931,"Adventure, Romance, War",United States
1930,"Crime, Mystery, Thriller",United States
1930,"Crime, Drama, Thriller",United States
1930,"Comedy, Music, Romance",United States
1930,"Adventure, Western, Romance",United States
1930,"Action, Biography, Drama",United States
1929,"Drama, Mystery",United States
1930,"Drama, Music",Germany
1930,Drama,United Kingdom
1930,"Crime, Drama, War",United States
1930,"Drama, Musical, Romance",United States
1930,"Musical, Romance",United States
1930,"Adventure, Drama, Music",United States
1930,Comedy,United States
1930,Comedy,United States
1930,"Comedy, Musical, Romance",United States
1930,"Drama, Romance",United States
1930,Mystery,United States
1929,"Crime, Drama","United Kingdom, Sweden"
1930,"Comedy, Musical",United States
1930,"Adventure, Drama",United States
1931,Drama,France
1930,"Action, Drama, War",United States
1930,"Comedy, Romance",United States
1930,"Drama, Romance",United States
1930,"Romance, Drama",United States
1930,"Comedy, Drama, Music",United States
1930,"Crime, Drama",United States
1930,"Comedy, Romance, War",United States
1930,"Comedy, Musical, Romance",Germany
1930,"Comedy, Musical",United Kingdom
1930,"Drama, Romance",United States
1930,"Comedy, Crime, Drama",United States
1930,"Comedy, Romance",United States
1932,"Crime, Drama, Mystery",United States
1930,"Adventure, Comedy, Romance",United States
1930,"Comedy, Romance",United States
1930,"Drama, Musical, Romance",United States
1930,"Comedy, Musical, Romance",United States
1930,"Crime, Drama, Romance",United States
1930,"Action, Crime, Drama",United States
1930,"Comedy, Musical",United States
1930,"Comedy, Romance",United States
1930,"Musical, Romance",United States
1930,"Comedy, Drama, Music",United States
1930,"Comedy, Musical",United States
1930,Adventure,United States
1930,"Comedy, Musical",United States
1929,Musical,United States
1930,"Drama, Romance",United States
1930,"Drama, War",United States
1930,"Crime, Drama, Romance",United States
1930,"Crime, Drama, Romance",Japan
1930,"Comedy, Drama",United States
1930,"Comedy, Romance",United States
1930,"Drama, History, Romance",United States
1930,"Drama, War","United Kingdom, United States"
1930,"Comedy, Fantasy, Musical",United States
